"Polarity","Alignment.ID","Adduct.type","Average.Rt.min.","Metabolite.curated","Ontology","Fenton_0h_1","Fenton_0h_2","Fenton_0h_3","Fenton_1min_1","Fenton_1min_2","Fenton_1min_3","Fenton_20min_1","Fenton_20min_2","Fenton_20min_3","Fenton_4h_1","Fenton_4h_2","Fenton_4h_3","Fenton_24h_1","Fenton_24h_2","Fenton_24h_3","Fenton_72h_1","Fenton_72h_2","Fenton_72h_3","H2O2_0h_1","H2O2_0h_2","H2O2_0h_3","H2O2_1min_1","H2O2_1min_2","H2O2_1min_3","H2O2_20min_1","H2O2_20min_2","H2O2_20min_3","H2O2_4h_1","H2O2_4h_2","H2O2_4h_3","H2O2_24h_1","H2O2_24h_2","H2O2_24h_3","H2O2_72h_1","H2O2_72h_2","H2O2_72h_3"
"Neg",62339,"[M-H]-",24.508,"CL 16:0_18:1_16:0_18:1 (b)","CL",20215,52853,18585,3262,0,0,0,4096,0,0,0,0,0,0,0,0,0,0,41185,40486,259960,36849,20727,26080,9280,14959,19478,27905,63366,29885,26747,54495,26686,45530,33534,26179
"Neg",62338,"[M-H]-",24.871,"CL 16:0_18:1_16:0_18:1 (c)","CL",6436,6190,3669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4237,4511,20046,8657,11020,5216,12600,0,0,74251,30550,24621,2724,15163,18352,5193,15884,60288
"Neg",62296,"[M-H]-",23.243,"CL 16:0_18:1_16:1_18:1","CL",6052958,5531238,4795403,33782,18265,310446,569962,1139683,169199,105653,0,59230,0,0,0,166671,37494,10366,5194545,7290138,5810910,6114853,4488886,5807319,3633097,3395849,4671398,6279686,8663274,8508475,7579731,6730638,7129041,6309257,8303428,6743359
"Neg",62654,"[M-H]-",23.924,"CL 16:0_18:1_17:0_18:1","CL",275056,220733,89240,0,4107,0,3591,33032,0,3373,0,0,0,0,0,0,0,0,155317,351160,287822,175714,253195,340401,33463,53874,142952,276129,508633,436829,387507,312120,369232,312931,473047,344891
"Neg",62606,"[M-H]-",23.476,"CL 16:0_18:1_17:1_18:1","CL",661890,534772,509321,0,0,0,39552,15108,0,2445,0,3663,0,0,0,0,0,0,614576,787928,659435,745615,515686,693355,383219,307433,493057,749230,1035222,973305,872470,751034,875052,713547,989730,710777
"Neg",62989,"[M-H]-",24.146,"CL 16:0_18:1_18:0_18:1","CL",174102,430770,366667,0,0,0,42104,15878,0,0,0,3401,0,0,0,0,3222,0,434928,555870,520923,527391,235778,520403,141808,247912,285042,484570,781403,746628,553199,582154,606356,490254,687367,539711
"Neg",62943,"[M-H]-",23.716,"CL 16:0_18:1_18:1_18:1 (a)","CL",3253783,2195241,2653130,0,4261,43997,422332,709962,39733,29749,0,14099,0,0,0,57398,9283,0,3038189,4179720,3555502,3659005,2543637,3491072,1880065,1996846,2368038,3563540,4968690,4819072,4340712,3894455,4016403,3613759,4636036,4020371
"Neg",62941,"[M-H]-",23.989,"CL 16:0_18:1_18:1_18:1 (b)","CL",97274,84756,84801,3683,0,4129,7191,50453,3687,5093,0,0,0,0,0,0,3791,0,117007,120029,99352,117691,97990,89674,91334,72122,159916,96167,453214,161165,119613,109712,117329,250482,137680,112601
"Neg",62942,"[M-H]-",24.871,"CL 16:0_18:1_18:1_18:1 (c)","CL",8064,404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16901,5601,0,9818,0,4641,11017,0,0,50461,3818,3939,3089,4271,0,6701,20201,35042
"Neg",62893,"[M-H]-",23.67,"CL 16:0_18:2_18:1_18:1","CL",407627,1430727,320108,0,11037,4137,19729,134273,3481,0,0,3561,0,0,0,6873,0,0,153050,208945,332359,546196,171409,422685,376153,114800,123979,325580,251268,847644,260926,688481,182918,263258,942261,785397
"Neg",61053,"[M-H]-",21.514,"CL 16:1_16:1_16:1_16:1","CL",169506,141972,222584,0,0,0,0,3452,5782,0,4495,0,0,0,0,0,4662,0,289904,204591,286499,273254,169910,245173,172319,127806,269314,396621,433082,305543,252328,373655,335746,353883,480596,321426
"Neg",61655,"[M-H]-",22.166,"CL 16:1_16:1_16:1_18:1","CL",2683240,2492274,2149413,10306,0,48957,276248,443420,60570,2940,0,0,0,0,0,18838,0,0,2800232,3070725,2947493,3035120,2195725,2920547,2041816,1498525,2476602,3378257,3915739,4000778,2163611,3313984,3280910,3358436,4208004,3675765
"Neg",61619,"[M-H]-",21.588,"CL 16:1_16:1_16:1_18:2","CL",407503,448092,217002,0,0,0,19161,15387,6324,0,0,0,0,0,0,0,0,0,346958,558638,562620,579398,345727,554403,197175,161305,439943,603349,658880,674617,658472,610627,673470,566239,702668,537045
"Neg",61957,"[M-H]-",22.471,"CL 16:1_17:1_17:1_17:1","CL",631156,525500,480828,0,0,0,19807,36449,6278,0,0,0,0,0,0,0,0,0,592140,675707,683675,664943,539017,620946,323676,276865,534397,863358,979392,1020141,850569,731981,570629,719617,892134,639933
"Neg",62244,"[M-H]-",22.737,"CL 16:1_18:1_16:1_18:1 (a)","CL",7287805,8301426,6648229,96723,63721,264437,1221095,1442511,209300,63100,0,12922,0,3710,4509,145586,6739,0,7511154,8615950,8431940,7824628,6455649,7662823,5784628,4328480,7289107,10838911,12849196,11420795,10155488,8571912,10429263,9202513,12178121,9254891
"Neg",62245,"[M-H]-",22.986,"CL 16:1_18:1_16:1_18:1 (b)","CL",1163875,377505,869335,19036,4526,32073,76876,103378,55146,0,0,4486,0,0,0,0,0,0,1143164,1440719,1358941,1154989,290606,918967,243944,576871,370796,410163,627007,1112973,1241497,899862,426149,691864,467032,977536
"Neg",62243,"[M-H]-",23.724,"CL 16:1_18:1_16:1_18:1 (c)","CL",78231,41598,36854,0,0,4167,0,0,0,0,0,0,0,0,0,0,0,0,41176,39463,113065,69683,55348,76486,19943,22944,27306,42987,64901,172028,45095,108033,157957,52897,120296,83834
"Neg",62207,"[M-H]-",22.226,"CL 16:1_18:1_16:1_18:2 (a)","CL",3378426,3252219,2731370,13306,9287,84434,238454,460568,132452,0,0,0,0,4350,0,0,0,0,3763237,4034766,3909620,3823255,3076635,3869263,2612274,1837602,3129905,4583221,4961419,5405957,4933773,4285391,3963168,4306514,5217991,4604901
"Neg",62206,"[M-H]-",23.248,"CL 16:1_18:1_16:1_18:2 (b)","CL",167473,131477,215417,0,0,0,4444,4714,0,0,0,0,0,0,0,0,0,0,205027,150718,152208,152622,102625,143564,67237,77485,76261,221331,207758,315944,296510,169025,329109,219253,377255,280999
"Neg",62736,"[M-H]-",22.094,"CL 16:1_18:1_16:1_20:4","CL",439747,351245,579139,0,4053,0,4948,16512,0,0,0,0,0,0,0,3285,4750,0,548299,941821,421559,707937,607800,847925,322024,295101,402367,173586,668457,675829,814772,1011456,945241,883198,602870,1068558
"Neg",62561,"[M-H]-",23.01,"CL 16:1_18:1_17:1_18:1","CL",1910953,1783507,1542372,0,0,14213,221138,248737,9998,2671,0,0,0,0,0,4887,0,0,1819739,2240479,1890120,1936893,1413202,1788435,1058914,983349,1468019,1938676,2782329,2478557,2369032,1932343,2060778,1931990,2426390,2030548
"Neg",62509,"[M-H]-",22.522,"CL 16:1_18:1_17:1_18:2","CL",573645,587021,441943,0,0,0,19589,46955,0,0,0,0,0,0,0,0,0,0,647857,685320,719695,684661,488055,659991,413782,235021,545829,746932,946146,945684,806261,732968,926387,753068,917425,730651
"Neg",62890,"[M-H]-",23.261,"CL 16:1_18:1_18:1_18:1","CL",9299731,8682857,7817715,109399,96473,224352,1231934,1617769,253223,43753,0,42140,0,0,4252,111864,27549,0,8527838,11446954,9054356,9747656,6950356,9340469,5395377,5093702,7128644,10091906,13831009,12867958,11598297,10173277,10912000,9692447,12546539,10372184
"Neg",62845,"[M-H]-",22.785,"CL 16:1_18:1_18:1_18:2 (a)","CL",9335529,9018143,8213962,36194,41668,328481,1156730,1110961,188327,2701,0,4859,0,0,0,28755,20961,0,7472790,10655355,10079634,9454456,6774906,9337743,5872736,5013869,7937973,10978961,14602139,11405461,11687313,9470780,10605620,9553006,12230126,9066157
"Neg",62844,"[M-H]-",23.159,"CL 16:1_18:1_18:1_18:2 (b)","CL",405079,654654,208084,10428,0,20608,41781,97661,5117,0,0,0,0,0,3875,0,0,0,700659,900858,874346,590182,435851,672302,191036,420850,190257,833337,352236,701967,856757,930236,979720,661694,762711,847906
"Neg",62846,"[M-H]-",23.709,"CL 16:1_18:1_18:1_18:2 (c)","CL",708243,727239,491549,0,0,3543,29844,42826,5118,2435,0,0,0,0,0,3164,0,0,712643,946865,836596,866941,440021,866489,449640,445842,567749,857644,1303583,1109835,1090486,782905,933364,920433,1226780,984761
"Neg",62795,"[M-H]-",22.701,"CL 16:1_18:1_18:2_18:2 (a)","CL",693864,156796,286682,0,0,12832,22571,41846,0,0,0,0,0,0,0,0,0,0,744154,965665,474265,505773,492155,738628,378149,198057,419500,1216856,1424346,1264026,1260795,695834,952819,828096,783087,1040877
"Neg",62796,"[M-H]-",23.24,"CL 16:1_18:1_18:2_18:2 (b)","CL",678192,646280,614507,0,0,0,37925,53750,0,0,0,0,0,0,0,0,0,0,737265,889982,713231,855437,514608,748030,430053,329620,336178,747409,1092581,1027458,806848,861775,943286,775433,506484,811167
"Neg",63372,"[M-H]-",22.141,"CL 16:1_18:1_18:2_20:4","CL",1074599,860633,779038,0,0,0,4277,6770,6811,0,0,0,0,0,0,0,0,0,1078995,1084293,1079955,1027196,921564,1113220,704712,525909,591365,1264901,1394306,1478389,828262,1147780,1046262,1165151,1409454,984348
"Neg",62173,"[M-H]-",21.681,"CL 16:1_18:2_16:1_18:2 (a)","CL",328905,438237,411878,0,0,0,8173,3983,4698,0,0,0,0,0,0,0,0,0,481321,259826,564131,542221,335437,580162,330793,268092,238411,685786,781838,754961,744888,597066,677066,518250,757725,664024
"Neg",62172,"[M-H]-",22.726,"CL 16:1_18:2_16:1_18:2 (b)","CL",166450,196178,100823,0,0,0,5930,0,0,0,0,4128,0,0,0,0,0,0,143097,242190,147183,168860,91027,140189,79249,80568,139057,160172,157254,342290,330346,168501,141247,276084,343400,272676
"Neg",62692,"[M-H]-",21.521,"CL 16:1_18:2_16:1_20:4","CL",186695,166412,127076,0,0,0,0,4257,0,0,0,0,0,0,0,0,4845,0,232394,202377,133228,170101,86792,289506,83119,60754,204019,178538,287919,400528,231267,279655,138779,258190,431139,268473
"Neg",62797,"[M-H]-",22.304,"CL 16:1_18:2_18:1_18:2","CL",2357016,2142845,1960894,4012,0,58347,125067,170680,21838,0,0,0,0,0,0,0,0,0,2473272,2884445,2496925,2612011,2207774,2558376,1635673,617231,1246644,2996889,3516983,3738284,2998294,2935865,2416653,2702112,3545280,2948629
"Neg",62735,"[M-H]-",21.779,"CL 16:1_18:2_18:2_18:2","CL",318237,183206,146651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,354017,370835,211150,289800,159609,330151,124309,20852,301925,384509,432301,437850,258597,368020,253442,355533,280643,411864
"Neg",63420,"[M-H]-",23.649,"CL 16:1_20:4_18:1_18:1","CL",10479,259632,12844,0,0,0,3515,0,0,0,0,0,0,0,0,0,0,0,21151,30030,9560,0,19471,8797,9797,12595,14892,23866,36485,24952,31467,31618,39382,5800,43449,50409
"Neg",63371,"[M-H]-",22.784,"CL 16:1_20:4_18:1_18:2","CL",849992,663532,885638,4236,0,9942,53290,32979,0,0,0,0,0,0,0,3428,0,0,727028,1116983,1034595,1136350,288498,1146450,644978,490823,872304,1312618,1501548,1447199,1386214,1159389,1296668,1069239,1391120,1204621
"Neg",63228,"[M-H]-",23.49,"CL 17:1_18:1_18:1_18:1","CL",757028,600543,353705,0,0,0,37175,49792,4276,0,0,0,0,0,0,0,0,0,766259,908938,785960,790865,583699,441471,405619,378522,516550,775292,1261055,1075039,978978,788183,928495,810671,1036496,962128
"Neg",63175,"[M-H]-",23.046,"CL 17:1_18:1_18:1_18:2","CL",1148869,1113326,1026947,5302,4472,17397,85008,125791,0,0,0,0,0,0,0,0,0,0,1187947,1364227,1290547,1260605,821430,1093852,642748,610592,876567,1148807,1798623,1651639,1397466,1322132,1217181,1297610,1509096,1246192
"Neg",63115,"[M-H]-",22.595,"CL 17:1_18:2_18:1_18:2","CL",223662,221117,159388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263517,317339,343943,102533,194964,153483,105999,106820,135083,174439,299842,439470,257747,279086,233043,185284,327083,124254
"Neg",63641,"[M-H]-",24.145,"CL 18:0_18:1_18:1_18:1","CL",105309,141028,128495,0,0,0,0,3232,0,0,0,0,0,0,0,0,0,0,92678,163465,132927,230558,168686,210343,88875,76835,35451,105538,281664,205612,221782,265519,254628,176726,316307,246072
"Neg",63586,"[M-H]-",23.727,"CL 18:1_18:1_18:1_18:1 (a)","CL",1921845,1579989,1702577,9362,10000,22040,155318,342687,19290,2280,0,5112,0,0,0,9378,0,0,2008285,2666974,2080432,2259514,1590309,2155830,1196878,1098682,1492060,2249727,3342702,3071693,2617669,2303168,2529051,2369828,2913234,2452417
"Neg",63585,"[M-H]-",24.871,"CL 18:1_18:1_18:1_18:1 (b)","CL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7898,0,3949,0,0,0,10069,0,0,28213,3403,3757,3478,4151,0,5946,6078,7661
"Neg",63532,"[M-H]-",23.296,"CL 18:1_18:1_18:1_18:2","CL",4249440,4051953,3707963,9222,4959,149789,458310,580510,43480,0,0,4196,3523,0,0,18918,0,0,4156137,4921717,4072564,4533447,3376001,4413588,2529549,2222773,3244487,4760796,6540237,5934783,5398917,4841150,4892524,4460961,5575571,4885410
"Neg",64204,"[M-H]-",23.378,"CL 18:1_18:1_18:1_20:3","CL",171935,356101,209439,0,0,0,14039,0,0,0,0,0,0,0,0,0,0,0,161282,365584,298295,323523,136742,329280,53392,49243,182240,354738,486523,292521,422037,212611,379174,325126,463676,203361
"Neg",64097,"[M-H]-",22.72,"CL 18:1_18:1_18:2_20:4","CL",280241,405969,278437,0,3559,0,0,8108,0,0,0,0,0,0,0,0,0,0,322746,427515,420314,562152,299292,377321,102708,85480,256024,418482,308383,861444,835749,592051,406590,411181,488743,486915
"Neg",63478,"[M-H]-",22.849,"CL 18:1_18:2_18:1_18:2 (a)","CL",2629099,3921180,2331917,11925,5558,75762,185897,270036,20434,0,0,0,0,0,0,0,0,0,4079598,4792380,3074598,2846550,3059829,4187273,2355015,1344805,2133356,4725363,5985771,5545037,4748194,3986733,4381933,3733903,4946049,4413973
"Neg",63477,"[M-H]-",23.009,"CL 18:1_18:2_18:1_18:2 (b)","CL",1460144,438488,1265796,10996,12735,25036,18942,49302,5845,0,0,0,0,0,0,0,0,0,462139,530622,1548129,1326984,342139,406067,246041,748767,350101,436598,696140,589994,464935,424859,446481,406565,508278,428883
"Neg",63474,"[M-H]-",23.221,"CL 18:1_18:2_18:1_18:2 (c)","CL",707870,275039,519642,0,0,5326,32698,27279,0,0,0,0,0,0,0,3560,0,0,225015,845300,202680,730908,540423,716611,172456,99724,240979,601688,1121208,1070543,961357,135574,973986,212485,703069,792124
"Neg",63479,"[M-H]-",23.711,"CL 18:1_18:2_18:1_18:2 (d)","CL",380351,397551,337986,0,0,0,3738,24987,0,0,0,0,0,0,0,0,0,0,324795,614282,376578,482737,223091,279281,270702,133965,227445,467561,677807,684811,373896,610112,544934,483612,709645,330854
"Neg",64153,"[M-H]-",22.968,"CL 18:1_18:2_18:1_20:3 (a)","CL",665814,640819,549856,0,0,0,9307,4736,0,0,0,0,0,0,0,0,0,0,605061,803045,563354,647586,504338,585962,185201,257934,419090,638503,994598,758413,710788,607591,734266,354462,880340,659338
"Neg",64152,"[M-H]-",23.72,"CL 18:1_18:2_18:1_20:3 (b)","CL",136378,134994,163891,0,0,0,0,8400,0,0,0,5308,0,0,0,0,0,0,137496,174129,240410,128361,188871,239830,73071,8325,31591,264787,385939,379368,206963,286035,305303,145898,368140,358236
"Neg",64095,"[M-H]-",23.292,"CL 18:1_18:2_18:1_20:4","CL",239312,482297,387457,0,0,4481,9772,12284,0,0,0,0,0,0,0,3867,0,0,513846,631365,529856,497392,357162,254973,237066,240287,287140,510863,494850,746525,628333,604774,387566,496528,737020,587229
"Neg",63418,"[M-H]-",22.387,"CL 18:1_18:2_18:2_18:2 (a)","CL",939174,835895,653807,0,0,0,26867,6873,4283,0,0,0,0,0,0,0,0,0,994551,999513,1140620,1084153,723922,1043082,657132,434047,775354,1135017,1325772,1366494,922721,601382,416012,949007,1291562,1018030
"Neg",63419,"[M-H]-",22.512,"CL 18:1_18:2_18:2_18:2 (b)","CL",110809,91874,44284,0,0,4240,4382,19626,4283,0,0,0,0,0,0,0,0,0,104316,46736,168436,97374,40264,127455,47076,71852,117792,93661,146964,152330,343736,417532,417795,45144,96096,136346
"Neg",63417,"[M-H]-",22.692,"CL 18:1_18:2_18:2_18:2 (c)","CL",597416,1064579,593169,0,3426,0,21159,21241,0,0,0,5435,0,0,0,0,0,0,755425,760034,731008,506764,994241,468341,424757,239092,319147,526657,894090,1835947,1019010,916068,886366,735721,956246,348028
"Neg",63416,"[M-H]-",23.257,"CL 18:1_18:2_18:2_18:2 (d)","CL",937120,530141,966507,0,0,10898,40855,85873,0,0,0,0,0,0,0,3322,4883,0,1080008,1307433,1166004,1285937,901864,1143155,513911,590978,386078,1339204,1707773,1676750,1597792,1310729,1468658,1218994,1635047,1323816
"Neg",64047,"[M-H]-",22.214,"CL 18:1_18:2_18:2_20:4 (a)","CL",323713,246367,299061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,343927,349331,400979,613823,195221,420566,193357,103067,186433,436820,493762,354445,427421,382349,433056,395852,563250,200776
"Neg",64045,"[M-H]-",22.85,"CL 18:1_18:2_18:2_20:4 (b)","CL",394406,348969,268790,0,0,0,6369,3593,0,0,0,0,0,0,0,0,0,0,421249,498495,379903,314134,312278,454149,226718,181166,166196,242796,600844,488033,373646,316645,159761,384472,189260,486880
"Pos",21835,"[M+NH4]+",13.992,"DG 14:0_16:0","DG",4746387,6405873,4548394,2510416,2479408,2192810,1721406,2365262,2485886,1944683,932177,1197687,977655,928550,1271594,1021740,880882,633075,5204302,4280421,6706833,4048812,6249270,4665078,4676853,2207738,5281849,5893149,7049174,4953729,4829972,5471100,2979822,3561181,5587768,4327989
"Pos",23818,"[M+NH4]+",15.303,"DG 16:0_16:0","DG",58330007,55216897,41729784,18625005,17987062,14837435,12371593,17345718,19605139,14933562,7286426,9510681,7707663,7610917,10034534,8410100,6598759,4783283,58573069,53802502,60724227,49584160,49673065,50131957,33760190,23396976,24027607,49754824,53330189,51995927,59128481,50419857,49581292,51340443,67349863,31762827
"Pos",23689,"[M+NH4]+",14.079,"DG 16:0_16:1","DG",25496278,44341768,35772542,13275548,10741360,8743785,8080757,10044005,11803298,3882198,1381971,2244862,1549711,737081,1969686,2327965,1452180,769093,49845266,45163156,46658023,41217779,24246692,40953637,32292665,12929044,37674022,36683404,39369272,23818998,41829265,15896161,33398284,34649155,25034005,35612862
"Pos",24764,"[M+NH4]+",14.768,"DG 16:0_17:1","DG",5941038,5801280,4635245,1738894,1445847,1035274,1140848,1289269,1559116,555271,81297,280918,201416,87571,261410,304850,153687,121533,4353320,5935380,6146749,5639471,2376029,5094874,2079291,2646139,4709305,2643531,5189537,2493195,5584120,4041145,4195370,4207795,2718493,4709870
"Pos",26055,"[M+NH4]+",16.833,"DG 16:0_18:0","DG",27347700,23633919,18785619,8389354,8439555,7119022,5699373,7722605,8889066,6671100,3172448,4231546,3264821,3343832,4385211,3951397,2904115,2198475,26972320,27171435,27226946,24217456,23140319,23422715,14434988,10240577,16350000,21877752,23543749,24838724,25985416,10081241,12402431,11014652,29587274,25996994
"Pos",25882,"[M+NH4]+",15.449,"DG 16:0_18:1","DG",234750811,218046807,167535733,57001385,45451374,35600262,34862101,44795796,53068651,18448283,6142704,10578209,7080252,3481961,9244487,11443427,6899237,3768626,236671686,221219411,234559917,210356607,205376378,200614436,130909582,88278211,162378439,167860460,175271038,176712594,190708014,148889730,150926654,155489309,192828779,163500291
"Pos",26988,"[M+NH4]+",16.174,"DG 16:0_19:1","DG",7819731,7200664,6365441,1679431,1344024,1055749,1185880,1377343,1715121,630544,185363,335558,198436,76748,164274,201314,80337,45609,7863247,8901825,3940529,8337058,7335555,7003698,4085035,2765589,5025968,5283510,6665871,6573891,5744006,5513824,5684005,5807387,6102739,2774780
"Pos",28240,"[M+NH4]+",18.444,"DG 16:0_20:0","DG",1150015,2166449,1747802,499551,417484,999036,956629,1158828,1231242,1053389,491841,436289,846482,888782,391326,869561,798385,774024,973077,2327233,1184015,1209882,2147847,1100571,1664897,1277335,753639,882095,2141588,2128684,2245711,2027300,1046159,1858624,2422242,2256178
"Pos",29647,"[M+NH4]+",13.962,"DG 16:0_22:5","DG",7468736,6786453,5497415,845419,697685,624072,174612,263774,199153,3063,3791,0,0,2875,0,0,0,3266,8450754,7039022,7438995,12019868,11079272,10548609,4323196,3239849,6133869,6060828,5773625,3681678,6174070,2242582,5567131,5664923,7836302,6341406
"Pos",33024,"[M+NH4]+",21.124,"DG 16:0_24:0","DG",1181867,1071917,1011920,456320,434177,390247,352597,544170,511914,314200,39483,200859,128944,89402,189434,183033,135335,36354,1390608,1275531,1276883,1207407,1185771,1109902,701585,538174,694281,974214,1247056,1129829,1149641,1019867,1054036,989349,1344597,1130102
"Pos",32844,"[M+NH4]+",19.932,"DG 16:0_24:1","DG",3723152,3519450,2772551,842932,680294,575005,535205,780758,908114,373671,92814,187830,35994,16233,63718,216006,78099,43666,3931293,3784780,3888649,3690584,3619552,3341552,1707077,1345844,1925273,2619833,3082356,2890223,3074993,2613041,2620428,1861648,3457315,3185654
"Pos",35564,"[M+NH4]+",22.073,"DG 16:0_26:0","DG",947288,858320,691367,139485,230202,282167,238460,373629,341163,233291,95037,135560,129468,89842,183039,111355,31364,20874,995147,917057,1034803,593786,916571,528100,353553,277671,494168,713288,878428,437485,866835,551221,787876,795455,934297,812691
"Pos",35374,"[M+NH4]+",21.075,"DG 16:0_26:1","DG",2972561,2813695,1350460,631242,548840,339689,279678,365836,532846,181131,27352,43836,19438,5828,43968,44678,14846,24809,3130770,2896248,1964731,2831029,2662702,2488873,1272790,522922,730017,1572965,2586702,2510622,2693013,2118493,2186265,1463931,3040385,2779252
"Pos",25721,"[M+NH4]+",14.183,"DG 16:1_18:1","DG",24522690,43151462,33457499,11049362,8055986,6201381,6986295,8334416,9461671,2446059,1260057,1781559,1209588,961862,1414280,1944264,1287134,942578,47951065,43930012,46046003,43225722,43385688,39982056,32919322,21931740,37594365,37715325,36985488,38666082,19763476,19570785,33686187,35432715,42706699,35028704
"Pos",28238,"[M+NH4]+",18.497,"DG 18:0_18:0","DG",1344384,2166449,1747802,659006,770169,999036,956629,1158828,1231242,1053389,354361,563009,846482,888782,496493,869561,798385,774024,1667440,2327233,1269372,1084499,2137220,1128330,1664897,1277335,922224,1129050,2141588,2128684,2245711,2027300,980772,1858624,2422242,2256178
"Pos",28101,"[M+NH4]+",16.969,"DG 18:0_18:1","DG",60670507,53602266,43064551,11758290,9564287,7655360,7226559,9266939,11091473,3945318,1344297,2451004,743910,843794,1169015,1715999,1605039,962586,61795275,60109425,61407564,66803868,60201410,61087130,25955152,19177472,31515129,36180590,38170887,40336969,41550528,19861082,34216964,37022343,47152098,41542319
"Pos",30373,"[M+NH4]+",18.526,"DG 18:0_20:1","DG",6286780,5652172,4480666,1117387,896603,683533,694141,940528,766916,399108,85253,172339,146323,20202,180944,177949,75401,23465,6572624,6249037,6485650,6944424,6518597,6585581,2261616,1736593,1316464,3086617,3506437,3806873,3711451,3069441,2946153,3140594,4114876,3593972
"Pos",30207,"[M+NH4]+",17.559,"DG 18:0_20:2","DG",915042,808687,724073,76716,86777,29564,42555,79148,56867,10074,0,6530,4890,7870,9392,9007,13686,0,1248466,1668072,1211688,3682007,1275669,3314944,127515,71336,345958,371853,97742,198034,338594,244558,440499,276891,266364,228614
